date,site,region,pm25_ugm3
2016-01-06,Waimate Kennedy,Canterbury,4.875
2016-01-06,Wainuiomata (Moohan Street),Wellington,4.076
2016-01-06,Woolston,Canterbury,4.354
2016-01-07,Anzac Square,Canterbury,8.838
2016-01-07,Hampstead,Canterbury,6.409
2016-01-07,Masterton West (Pownall Street),Wellington,5.018
2016-01-07,Patumahoe,Auckland,2.6
2016-01-07,Plunket AQ,Tasman,4.1
2016-01-07,Rangiora,Canterbury,7.075
2016-01-07,Rotorua at Edmund Rd,Bay of Plenty,3.783
2016-01-07,St Albans,Canterbury,11.25
2016-01-07,Takapuna,Auckland,4.7
2016-01-07,Waimate Kennedy,Canterbury,5.067
2016-01-07,Wainuiomata (Moohan Street),Wellington,5.199
2016-01-07,Woolston,Canterbury,7.642
2016-01-08,Anzac Square,Canterbury,9.842
2016-01-08,Hampstead,Canterbury,6.392
2016-01-08,Masterton West (Pownall Street),Wellington,1.818
2016-01-08,Patumahoe,Auckland,3.1
2016-01-08,Plunket AQ,Tasman,4.9
2016-01-08,Rangiora,Canterbury,6.432
2016-01-08,St Albans,Canterbury,10.825
2016-01-08,Takapuna,Auckland,5.0
2016-01-08,Waimate Kennedy,Canterbury,6.396
2016-01-08,Wainuiomata (Moohan Street),Wellington,5.053
2016-01-08,Woolston,Canterbury,7.817
2016-01-09,Anzac Square,Canterbury,8.733
2016-01-09,Hampstead,Canterbury,6.1
2016-01-09,Masterton West (Pownall Street),Wellington,5.416
2016-01-09,Nelson at St Vincent St,Nelson,4.0
2016-01-09,Patumahoe,Auckland,4.9
2016-01-09,Plunket AQ,Tasman,3.8
2016-01-09,Rangiora,Canterbury,7.317
2016-01-09,St Albans,Canterbury,11.196
2016-01-09,Takapuna,Auckland,4.4
2016-01-09,Waimate Kennedy,Canterbury,4.338
2016-01-09,Wainuiomata (Moohan Street),Wellington,6.442
2016-01-09,Wellington Central (Willis Street),Wellington,5.829
2016-01-09,Woolston,Canterbury,7.913
2016-01-10,Anzac Square,Canterbury,8.633
2016-01-10,Hampstead,Canterbury,6.6
2016-01-10,Masterton West (Pownall Street),Wellington,5.997
2016-01-10,Patumahoe,Auckland,2.4
2016-01-10,Plunket AQ,Tasman,1.9
2016-01-10,Rangiora,Canterbury,5.35
2016-01-10,St Albans,Canterbury,8.938
2016-01-10,Takapuna,Auckland,4.2
2016-01-10,Waimate Kennedy,Canterbury,5.617
2016-01-10,Wainuiomata (Moohan Street),Wellington,7.389
2016-01-10,Wellington Central (Willis Street),Wellington,8.983
2016-01-10,Woolston,Canterbury,6.271
2016-01-11,Anzac Square,Canterbury,10.633
2016-01-11,Hampstead,Canterbury,7.504
2016-01-11,Masterton West (Pownall Street),Wellington,6.242
2016-01-11,Patumahoe,Auckland,4.3
2016-01-11,Plunket AQ,Tasman,6.0
2016-01-11,Rangiora,Canterbury,5.913
2016-01-11,St Albans,Canterbury,9.342
2016-01-11,Takapuna,Auckland,6.1
2016-01-11,Waimate Kennedy,Canterbury,6.371
2016-01-11,Wainuiomata (Moohan Street),Wellington,6.908
2016-01-11,Wellington Central (Willis Street),Wellington,6.467
2016-01-11,Woolston,Canterbury,6.688
2016-01-12,Anzac Square,Canterbury,12.267
2016-01-12,Hampstead,Canterbury,10.408
2016-01-12,Masterton West (Pownall Street),Wellington,4.423
2016-01-12,Nelson at St Vincent St,Nelson,5.0
2016-01-12,Patumahoe,Auckland,6.5
2016-01-12,Plunket AQ,Tasman,5.9
2016-01-12,Rangiora,Canterbury,7.329
2016-01-12,St Albans,Canterbury,13.95
2016-01-12,Takapuna,Auckland,6.5
2016-01-12,Waimate Kennedy,Canterbury,8.383
2016-01-12,Wainuiomata (Moohan Street),Wellington,6.256
2016-01-12,Wellington Central (Willis Street),Wellington,7.396
2016-01-12,Woolston,Canterbury,8.671
2016-01-13,Anzac Square,Canterbury,6.406
2016-01-13,Hampstead,Canterbury,4.738
2016-01-13,Masterton West (Pownall Street),Wellington,5.349
2016-01-13,Patumahoe,Auckland,3.3
2016-01-13,Plunket AQ,Tasman,4.5
2016-01-13,Rangiora,Canterbury,3.996
2016-01-13,St Albans,Canterbury,5.8
2016-01-13,Takapuna,Auckland,5.8
2016-01-13,Waimate Kennedy,Canterbury,3.421
2016-01-13,Wainuiomata (Moohan Street),Wellington,3.342
2016-01-13,Wellington Central (Willis Street),Wellington,11.467
2016-01-13,Woolston,Canterbury,4.604
2016-01-14,Anzac Square,Canterbury,9.571
2016-01-14,Hampstead,Canterbury,6.508
2016-01-14,Masterton West (Pownall Street),Wellington,4.553
2016-01-14,Patumahoe,Auckland,4.1
2016-01-14,Plunket AQ,Tasman,4.5
2016-01-14,Rangiora,Canterbury,6.238
2016-01-14,St Albans,Canterbury,8.996
2016-01-14,Takapuna,Auckland,6.4
2016-01-14,Waimate Kennedy,Canterbury,5.017
2016-01-14,Wainuiomata (Moohan Street),Wellington,4.488
2016-01-14,Wellington Central (Willis Street),Wellington,6.971
2016-01-14,Woolston,Canterbury,5.9
2016-01-15,Anzac Square,Canterbury,7.817
2016-01-15,Hampstead,Canterbury,3.463
2016-01-15,Masterton West (Pownall Street),Wellington,3.996
2016-01-15,Nelson at St Vincent St,Nelson,5.0
2016-01-15,Patumahoe,Auckland,5.1
2016-01-15,Plunket AQ,Tasman,6.9
2016-01-15,Rangiora,Canterbury,3.025
2016-01-15,St Albans,Canterbury,8.079
2016-01-15,Takapuna,Auckland,5.6
2016-01-15,Waimate Kennedy,Canterbury,3.537
2016-01-15,Wainuiomata (Moohan Street),Wellington,5.409
2016-01-15,Wellington Central (Willis Street),Wellington,12.425
2016-01-15,Woolston,Canterbury,8.188
2016-01-16,Anzac Square,Canterbury,6.479
2016-01-16,Hampstead,Canterbury,3.391
2016-01-16,Masterton West (Pownall Street),Wellington,3.588
2016-01-16,Patumahoe,Auckland,5.2
2016-01-16,Plunket AQ,Tasman,6.5
2016-01-16,Rangiora,Canterbury,1.916
2016-01-16,St Albans,Canterbury,4.3
2016-01-16,Takapuna,Auckland,6.3
2016-01-16,Waimate Kennedy,Canterbury,3.104
2016-01-16,Wainuiomata (Moohan Street),Wellington,4.822
2016-01-16,Wellington Central (Willis Street),Wellington,10.85
2016-01-16,Woolston,Canterbury,1.7
2016-01-17,Anzac Square,Canterbury,5.767
2016-01-17,Hampstead,Canterbury,3.488
2016-01-17,Masterton West (Pownall Street),Wellington,5.267
2016-01-17,Patumahoe,Auckland,1.9
2016-01-17,Rangiora,Canterbury,2.017
2016-01-17,St Albans,Canterbury,4.371
2016-01-17,Takapuna,Auckland,3.6
2016-01-17,Waimate Kennedy,Canterbury,2.752
2016-01-17,Wainuiomata (Moohan Street),Wellington,5.639
2016-01-17,Wellington Central (Willis Street),Wellington,3.788
2016-01-17,Woolston,Canterbury,2.029
2016-01-18,Anzac Square,Canterbury,6.217
2016-01-18,Hampstead,Canterbury,3.783
2016-01-18,Masterton West (Pownall Street),Wellington,9.625
2016-01-18,Nelson at St Vincent St,Nelson,3.0
2016-01-18,Patumahoe,Auckland,2.7
2016-01-18,Rangiora,Canterbury,1.767
2016-01-18,St Albans,Canterbury,4.121
2016-01-18,Takapuna,Auckland,4.9
2016-01-18,Waimate Kennedy,Canterbury,1.926
2016-01-18,Wainuiomata (Moohan Street),Wellington,6.229
2016-01-18,Wellington Central (Willis Street),Wellington,4.196
2016-01-18,Woolston,Canterbury,3.283
2016-01-19,Anzac Square,Canterbury,7.646
2016-01-19,Hampstead,Canterbury,2.471
2016-01-19,Masterton West (Pownall Street),Wellington,2.166
2016-01-19,Patumahoe,Auckland,3.9
2016-01-19,Rangiora,Canterbury,1.854
2016-01-19,St Albans,Canterbury,5.204
2016-01-19,Takapuna,Auckland,5.3
2016-01-19,Waimate Kennedy,Canterbury,3.286
2016-01-19,Wainuiomata (Moohan Street),Wellington,1.896
2016-01-19,Wellington Central (Willis Street),Wellington,1.229
2016-01-19,Woolston,Canterbury,2.104
2016-01-20,Anzac Square,Canterbury,8.629
2016-01-20,Billah Street,Waikato,4.21104
2016-01-20,Masterton West (Pownall Street),Wellington,2.208
2016-01-20,Patumahoe,Auckland,3.9
2016-01-20,Rangiora,Canterbury,3.813
2016-01-20,St Albans,Canterbury,6.842
2016-01-20,Takapuna,Auckland,6.5
2016-01-20,Waimate Kennedy,Canterbury,2.779
2016-01-20,Wainuiomata (Moohan Street),Wellington,1.623
2016-01-20,Wellington Central (Willis Street),Wellington,2.446
2016-01-20,Woolston,Canterbury,5.867
2016-01-21,Anzac Square,Canterbury,12.279
2016-01-21,Billah Street,Waikato,5.08743
2016-01-21,Masterton West (Pownall Street),Wellington,3.767
2016-01-21,Nelson at St Vincent St,Nelson,6.0
2016-01-21,Patumahoe,Auckland,3.0
2016-01-21,Rangiora,Canterbury,7.008
2016-01-21,St Albans,Canterbury,11.917
2016-01-21,Takapuna,Auckland,4.2
2016-01-21,Waimate Kennedy,Canterbury,6.296
2016-01-21,Wainuiomata (Moohan Street),Wellington,5.299
2016-01-21,Wellington Central (Willis Street),Wellington,8.333
2016-01-21,Woolston,Canterbury,10.167
2016-01-22,Anzac Square,Canterbury,11.15
2016-01-22,Billah Street,Waikato,3.13007
2016-01-22,Masterton West (Pownall Street),Wellington,4.616
2016-01-22,Patumahoe,Auckland,2.1
2016-01-22,Rangiora,Canterbury,5.538
2016-01-22,St Albans,Canterbury,12.017
2016-01-22,Takapuna,Auckland,4.1
2016-01-22,Waimate Kennedy,Canterbury,5.717
2016-01-22,Wainuiomata (Moohan Street),Wellington,3.561
2016-01-22,Wellington Central (Willis Street),Wellington,7.038
2016-01-22,Woolston,Canterbury,10.713
2016-01-23,Anzac Square,Canterbury,9.425
2016-01-23,Billah Street,Waikato,4.53681
2016-01-23,Masterton West (Pownall Street),Wellington,2.003
2016-01-23,Patumahoe,Auckland,3.3
2016-01-23,Penrose,Auckland,3.7
2016-01-23,Rangiora,Canterbury,5.471
2016-01-23,St Albans,Canterbury,13.342
2016-01-23,Takapuna,Auckland,4.4
2016-01-23,Waimate Kennedy,Canterbury,4.143
2016-01-23,Wainuiomata (Moohan Street),Wellington,3.864
2016-01-23,Wellington Central (Willis Street),Wellington,4.629
2016-01-23,Woolston,Canterbury,9.646
2016-01-24,Anzac Square,Canterbury,9.275
2016-01-24,Billah Street,Waikato,7.71097
2016-01-24,Masterton West (Pownall Street),Wellington,3.731
2016-01-24,Nelson at St Vincent St,Nelson,5.0
2016-01-24,Patumahoe,Auckland,3.2
2016-01-24,Penrose,Auckland,5.1
2016-01-24,Rangiora,Canterbury,3.386
2016-01-24,Rotorua at Edmund Rd,Bay of Plenty,8.807
2016-01-24,St Albans,Canterbury,7.721
2016-01-24,Takapuna,Auckland,4.6
2016-01-24,Waimate Kennedy,Canterbury,3.55
2016-01-24,Wainuiomata (Moohan Street),Wellington,2.179
2016-01-24,Wellington Central (Willis Street),Wellington,1.725
2016-01-24,Woolston,Canterbury,4.196
2016-01-25,Anzac Square,Canterbury,7.871
2016-01-25,Billah Street,Waikato,9.09958
2016-01-25,Masterton West (Pownall Street),Wellington,4.285
2016-01-25,Patumahoe,Auckland,4.0
2016-01-25,Penrose,Auckland,5.0
2016-01-25,Rangiora,Canterbury,4.371
2016-01-25,Rotorua at Edmund Rd,Bay of Plenty,5.022
2016-01-25,St Albans,Canterbury,9.667
2016-01-25,Takapuna,Auckland,5.2
2016-01-25,Waimate Kennedy,Canterbury,5.208
2016-01-25,Wainuiomata (Moohan Street),Wellington,2.267
2016-01-25,Wellington Central (Willis Street),Wellington,1.488
2016-01-25,Woolston,Canterbury,7.296
2016-01-26,Anzac Square,Canterbury,6.471
2016-01-26,Billah Street,Waikato,7.12944
2016-01-26,Masterton West (Pownall Street),Wellington,4.905
2016-01-26,Patumahoe,Auckland,5.7
2016-01-26,Penrose,Auckland,7.6
2016-01-26,Rangiora,Canterbury,4.133
2016-01-26,Rotorua at Edmund Rd,Bay of Plenty,5.023
2016-01-26,St Albans,Canterbury,5.346
2016-01-26,Takapuna,Auckland,7.0
2016-01-26,Waimate Kennedy,Canterbury,2.558
2016-01-26,Wainuiomata (Moohan Street),Wellington,3.989
2016-01-26,Wellington Central (Willis Street),Wellington,4.925
2016-01-26,Woolston,Canterbury,3.679
2016-01-27,Anzac Square,Canterbury,4.871
2016-01-27,Billah Street,Waikato,4.9084
2016-01-27,Hampstead,Canterbury,2.879
2016-01-27,Masterton West (Pownall Street),Wellington,4.981
2016-01-27,Nelson at St Vincent St,Nelson,3.0
2016-01-27,Patumahoe,Auckland,4.0
2016-01-27,Penrose,Auckland,4.4
2016-01-27,Plunket AQ,Tasman,4.3
2016-01-27,Rangiora,Canterbury,2.283
2016-01-27,Rotorua at Edmund Rd,Bay of Plenty,4.608
2016-01-27,St Albans,Canterbury,4.921
2016-01-27,Takapuna,Auckland,2.9
2016-01-27,Waimate Kennedy,Canterbury,3.226
2016-01-27,Wainuiomata (Moohan Street),Wellington,2.638
2016-01-27,Wellington Central (Willis Street),Wellington,3.013
2016-01-27,Woolston,Canterbury,2.571
2016-01-28,Anzac Square,Canterbury,4.621
2016-01-28,Billah Street,Waikato,3.57583
2016-01-28,Hampstead,Canterbury,2.342
2016-01-28,Masterton West (Pownall Street),Wellington,2.15
2016-01-28,Patumahoe,Auckland,3.5
2016-01-28,Penrose,Auckland,4.7
2016-01-28,Plunket AQ,Tasman,2.1
2016-01-28,Rangiora,Canterbury,2.267
2016-01-28,Rotorua at Edmund Rd,Bay of Plenty,4.535
2016-01-28,St Albans,Canterbury,4.754
2016-01-28,Takapuna,Auckland,5.4
2016-01-28,Waimate Kennedy,Canterbury,3.004
2016-01-28,Wainuiomata (Moohan Street),Wellington,0.934
2016-01-28,Wellington Central (Willis Street),Wellington,5.333
2016-01-28,Woolston,Canterbury,2.196
2016-01-29,Anzac Square,Canterbury,5.208
2016-01-29,Billah Street,Waikato,6.11771
2016-01-29,Hampstead,Canterbury,2.208
2016-01-29,Masterton West (Pownall Street),Wellington,3.401
2016-01-29,Patumahoe,Auckland,2.6
2016-01-29,Penrose,Auckland,4.0
2016-01-29,Plunket AQ,Tasman,4.2
2016-01-29,Rangiora,Canterbury,2.221
2016-01-29,Rotorua at Edmund Rd,Bay of Plenty,3.942
2016-01-29,St Albans,Canterbury,4.65
2016-01-29,Takapuna,Auckland,4.0
2016-01-29,Waimate Kennedy,Canterbury,1.665
2016-01-29,Wainuiomata (Moohan Street),Wellington,3.57
2016-01-29,Wellington Central (Willis Street),Wellington,3.592
2016-01-29,Woolston,Canterbury,2.475
2016-01-30,Anzac Square,Canterbury,4.771
2016-01-30,Billah Street,Waikato,3.84375
2016-01-30,Hampstead,Canterbury,3.846
2016-01-30,Masterton West (Pownall Street),Wellington,3.164
2016-01-30,Nelson at St Vincent St,Nelson,3.0
2016-01-30,Patumahoe,Auckland,1.6
2016-01-30,Penrose,Auckland,3.0
2016-01-30,Rangiora,Canterbury,2.513
2016-01-30,Rotorua at Edmund Rd,Bay of Plenty,2.689
2016-01-30,St Albans,Canterbury,4.913
2016-01-30,Takapuna,Auckland,2.9
2016-01-30,Waimate Kennedy,Canterbury,2.758
2016-01-30,Wainuiomata (Moohan Street),Wellington,3.241
2016-01-30,Wellington Central (Willis Street),Wellington,4.742
2016-01-30,Woolston,Canterbury,2.604
2016-01-31,Anzac Square,Canterbury,7.388
2016-01-31,Billah Street,Waikato,5.82639
2016-01-31,Hampstead,Canterbury,6.875
2016-01-31,Masterton West (Pownall Street),Wellington,4.404
2016-01-31,Patumahoe,Auckland,2.5
2016-01-31,Penrose,Auckland,4.1
2016-01-31,Plunket AQ,Tasman,3.9
2016-01-31,Rangiora,Canterbury,3.317
2016-01-31,Rotorua at Edmund Rd,Bay of Plenty,4.644
2016-01-31,St Albans,Canterbury,5.95
2016-01-31,Takapuna,Auckland,4.1
2016-01-31,Waimate Kennedy,Canterbury,4.213
2016-01-31,Wainuiomata (Moohan Street),Wellington,2.791
2016-01-31,Wellington Central (Willis Street),Wellington,3.375
2016-01-31,Woolston,Canterbury,3.367
2016-02-01,Anzac Square,Canterbury,10.742
2016-02-01,Billah Street,Waikato,4.40438
2016-02-01,Hampstead,Canterbury,6.138
2016-02-01,Patumahoe,Auckland,3.7
2016-02-01,Penrose,Auckland,3.4
2016-02-01,Plunket AQ,Tasman,4.3
2016-02-01,Rangiora,Canterbury,4.571
2016-02-01,Rotorua at Edmund Rd,Bay of Plenty,-1.383
2016-02-01,St Albans,Canterbury,7.292
2016-02-01,Takapuna,Auckland,3.9
2016-02-01,Waimate Kennedy,Canterbury,7.248
2016-02-01,Wainuiomata (Moohan Street),Wellington,2.761
2016-02-01,Wellington Central (Willis Street),Wellington,2.846
2016-02-01,Woolston,Canterbury,4.7
2016-02-02,Anzac Square,Canterbury,11.938
2016-02-02,Billah Street,Waikato,4.47868
2016-02-02,Hampstead,Canterbury,7.492
2016-02-02,Nelson at St Vincent St,Nelson,7.0
2016-02-02,Patumahoe,Auckland,5.5
2016-02-02,Penrose,Auckland,6.1
2016-02-02,Plunket AQ,Tasman,7.3
2016-02-02,Rangiora,Canterbury,8.679
2016-02-02,Rotorua at Edmund Rd,Bay of Plenty,5.407
2016-02-02,St Albans,Canterbury,10.554
2016-02-02,Takapuna,Auckland,5.4
2016-02-02,Waimate Kennedy,Canterbury,6.754
2016-02-02,Wainuiomata (Moohan Street),Wellington,3.801
2016-02-02,Wellington Central (Willis Street),Wellington,7.704
2016-02-02,Woolston,Canterbury,7.633
2016-02-03,Anzac Square,Canterbury,14.754
2016-02-03,Billah Street,Waikato,7.66549
2016-02-03,Hampstead,Canterbury,9.29
2016-02-03,Patumahoe,Auckland,6.6
2016-02-03,Penrose,Auckland,6.6
2016-02-03,Plunket AQ,Tasman,3.3
2016-02-03,Rangiora,Canterbury,7.733
2016-02-03,Rotorua at Edmund Rd,Bay of Plenty,6.652
2016-02-03,St Albans,Canterbury,8.946
2016-02-03,Takapuna,Auckland,6.4
2016-02-03,Waimate Kennedy,Canterbury,9.908
2016-02-03,Wainuiomata (Moohan Street),Wellington,3.608
2016-02-03,Wellington Central (Willis Street),Wellington,7.077
2016-02-03,Woolston,Canterbury,6.246
2016-02-04,Anzac Square,Canterbury,12.388
2016-02-04,Billah Street,Waikato,3.5684
2016-02-04,Hampstead,Canterbury,3.838
2016-02-04,Masterton West (Pownall Street),Wellington,7.552
2016-02-04,Patumahoe,Auckland,3.0
2016-02-04,Penrose,Auckland,2.3
2016-02-04,Plunket AQ,Tasman,6.6
2016-02-04,Rangiora,Canterbury,5.7
2016-02-04,Rotorua at Edmund Rd,Bay of Plenty,4.203
2016-02-04,St Albans,Canterbury,11.171
2016-02-04,Takapuna,Auckland,3.1
2016-02-04,Waimate Kennedy,Canterbury,7.029
2016-02-04,Wainuiomata (Moohan Street),Wellington,4.887
2016-02-04,Wellington Central (Willis Street),Wellington,7.238
2016-02-04,Woolston,Canterbury,8.371
2016-02-05,Anzac Square,Canterbury,10.554
2016-02-05,Billah Street,Waikato,2.14521
2016-02-05,Hampstead,Canterbury,6.471
2016-02-05,Masterton West (Pownall Street),Wellington,4.841
2016-02-05,Nelson at St Vincent St,Nelson,6.0
2016-02-05,Patumahoe,Auckland,2.2
2016-02-05,Penrose,Auckland,2.6
2016-02-05,Plunket AQ,Tasman,7.3
2016-02-05,Rangiora,Canterbury,5.946
2016-02-05,Rotorua at Edmund Rd,Bay of Plenty,2.079
2016-02-05,St Albans,Canterbury,10.317
2016-02-05,Takapuna,Auckland,3.0
2016-02-05,Waimate Kennedy,Canterbury,8.054
2016-02-05,Wainuiomata (Moohan Street),Wellington,4.144
2016-02-05,Wellington Central (Willis Street),Wellington,6.896
2016-02-05,Woolston,Canterbury,7.017
2016-02-06,Anzac Square,Canterbury,8.754
2016-02-06,Billah Street,Waikato,4.26611
2016-02-06,Hampstead,Canterbury,6.004
2016-02-06,Masterton West (Pownall Street),Wellington,6.983
2016-02-06,Patumahoe,Auckland,2.0
2016-02-06,Penrose,Auckland,2.2
2016-02-06,Plunket AQ,Tasman,5.4
2016-02-06,Rangiora,Canterbury,5.038
2016-02-06,Rotorua at Edmund Rd,Bay of Plenty,0.757
2016-02-06,St Albans,Canterbury,7.942
2016-02-06,Takapuna,Auckland,3.2
2016-02-06,Waimate Kennedy,Canterbury,5.354
2016-02-06,Wainuiomata (Moohan Street),Wellington,5.197
2016-02-06,Wellington Central (Willis Street),Wellington,8.992
2016-02-06,Woolston,Canterbury,5.721
2016-02-07,Anzac Square,Canterbury,8.721
2016-02-07,Billah Street,Waikato,3.9334
2016-02-07,Hampstead,Canterbury,5.058
2016-02-07,Masterton West (Pownall Street),Wellington,5.135
2016-02-07,Patumahoe,Auckland,3.2
2016-02-07,Penrose,Auckland,2.3
2016-02-07,Plunket AQ,Tasman,5.1
2016-02-07,Rangiora,Canterbury,3.879
2016-02-07,Rotorua at Edmund Rd,Bay of Plenty,0.269
2016-02-07,St Albans,Canterbury,7.033
2016-02-07,Takapuna,Auckland,2.4
2016-02-07,Waimate Kennedy,Canterbury,4.296
2016-02-07,Wainuiomata (Moohan Street),Wellington,4.243
2016-02-07,Wellington Central (Willis Street),Wellington,4.275
2016-02-07,Woolston,Canterbury,5.258
2016-02-08,Anzac Square,Canterbury,11.583
2016-02-08,Billah Street,Waikato,8.42056
2016-02-08,Hampstead,Canterbury,5.55
2016-02-08,Masterton West (Pownall Street),Wellington,4.751
2016-02-08,Nelson at St Vincent St,Nelson,8.0
2016-02-08,Patumahoe,Auckland,5.0
2016-02-08,Penrose,Auckland,5.0
2016-02-08,Plunket AQ,Tasman,6.6
2016-02-08,Rangiora,Canterbury,4.775
2016-02-08,Rotorua at Edmund Rd,Bay of Plenty,2.126
2016-02-08,St Albans,Canterbury,7.192
2016-02-08,Takapuna,Auckland,4.8
2016-02-08,Waimate Kennedy,Canterbury,8.671
2016-02-08,Wainuiomata (Moohan Street),Wellington,3.217
2016-02-08,Wellington Central (Willis Street),Wellington,2.913
2016-02-08,Woolston,Canterbury,4.108
2016-02-09,Anzac Square,Canterbury,11.625
2016-02-09,Billah Street,Waikato,6.80375
2016-02-09,Hampstead,Canterbury,6.675
2016-02-09,Masterton West (Pownall Street),Wellington,4.801
2016-02-09,Patumahoe,Auckland,5.5
2016-02-09,Penrose,Auckland,6.0
2016-02-09,Plunket AQ,Tasman,7.0
2016-02-09,Rangiora,Canterbury,7.946
2016-02-09,Rotorua at Edmund Rd,Bay of Plenty,5.563
2016-02-09,St Albans,Canterbury,9.242
2016-02-09,Takapuna,Auckland,6.3
2016-02-09,Waimate Kennedy,Canterbury,7.342
2016-02-09,Wainuiomata (Moohan Street),Wellington,4.942
2016-02-09,Wellington Central (Willis Street),Wellington,9.592
2016-02-09,Woolston,Canterbury,7.292
2016-02-10,Anzac Square,Canterbury,11.146
2016-02-10,Billah Street,Waikato,7.90958
2016-02-10,Hampstead,Canterbury,7.521
2016-02-10,Masterton West (Pownall Street),Wellington,5.376
2016-02-10,Patumahoe,Auckland,5.7
2016-02-10,Penrose,Auckland,8.6
2016-02-10,Plunket AQ,Tasman,4.6
2016-02-10,Rangiora,Canterbury,6.725
2016-02-10,Rotorua at Edmund Rd,Bay of Plenty,3.046
2016-02-10,St Albans,Canterbury,9.654
2016-02-10,Takapuna,Auckland,8.0
2016-02-10,Waimate Kennedy,Canterbury,6.317
2016-02-10,Wainuiomata (Moohan Street),Wellington,3.992
2016-02-10,Wellington Central (Willis Street),Wellington,3.65
2016-02-10,Woolston,Canterbury,8.613
2016-02-11,Anzac Square,Canterbury,10.671
2016-02-11,Billah Street,Waikato,6.78292
2016-02-11,Hampstead,Canterbury,8.788
2016-02-11,Masterton West (Pownall Street),Wellington,5.992
2016-02-11,Nelson at St Vincent St,Nelson,8.0
2016-02-11,Patumahoe,Auckland,5.6
2016-02-11,Penrose,Auckland,3.7
2016-02-11,Plunket AQ,Tasman,6.9
2016-02-11,Rangiora,Canterbury,8.225
2016-02-11,Rotorua at Edmund Rd,Bay of Plenty,5.22
2016-02-11,St Albans,Canterbury,11.408
2016-02-11,Takapuna,Auckland,4.3
2016-02-11,Waimate Kennedy,Canterbury,7.283
2016-02-11,Wainuiomata (Moohan Street),Wellington,3.779
